date,game_id,home,away,home_score,away_score
2026-04-11,NPB20260411FSH04,日本ハム,ソフトバンク,3,6
2026-04-11,NPB20260411LM06,西武,ロッテ,5,2
2026-04-12,NPB20260412EB05,楽天,オリックス,4,0
2026-04-12,NPB20260412FSH04,日本ハム,ソフトバンク,7,11
2026-04-12,NPB20260412LM06,西武,ロッテ,2,1
2026-04-14,NPB20260414BL05,オリックス,西武,5,1
2026-04-14,NPB20260414MF04,ロッテ,日本ハム,1,5
2026-04-14,NPB20260414SHE06,ソフトバンク,楽天,2,3
2026-04-15,NPB20260415BL03,オリックス,西武,3,1
2026-04-15,NPB20260415MF02,ロッテ,日本ハム,9,7
2026-04-15,NPB20260415SHE04,ソフトバンク,楽天,2,3
2026-04-16,NPB20260416BL04,オリックス,西武,7,1
2026-04-16,NPB20260416MF03,ロッテ,日本ハム,5,3
2026-04-16,NPB20260416SHE05,ソフトバンク,楽天,6,0
2026-04-17,NPB20260417EM05,楽天,ロッテ,1,0
2026-04-17,NPB20260417FL04,日本ハム,西武,3,5
2026-04-17,NPB20260417SHB06,ソフトバンク,オリックス,4,13
2026-04-18,NPB20260418EM05,楽天,ロッテ,9,1
2026-04-18,NPB20260418FL04,日本ハム,西武,5,3
2026-04-18,NPB20260418SHB06,ソフトバンク,オリックス,7,0
2026-04-19,NPB20260419EM05,楽天,ロッテ,5,8
2026-04-19,NPB20260419FL04,日本ハム,西武,3,15
2026-04-19,NPB20260419SHB06,ソフトバンク,オリックス,1,2
2026-04-21,NPB20260421FE04,日本ハム,楽天,3,1
2026-04-21,NPB20260421LSH05,西武,ソフトバンク,6,4
2026-04-21,NPB20260421MB06,ロッテ,オリックス,7,4
2026-04-22,NPB20260422FE04,日本ハム,楽天,5,4
2026-04-22,NPB20260422LSH05,西武,ソフトバンク,3,1
2026-04-22,NPB20260422MB06,ロッテ,オリックス,1,4
2026-04-23,NPB20260423FE02,日本ハム,楽天,2,3
2026-04-23,NPB20260423LSH03,西武,ソフトバンク,3,4
2026-04-24,NPB20260424BF03,オリックス,日本ハム,3,2
2026-04-25,NPB20260425BF05,オリックス,日本ハム,4,2
2026-04-25,NPB20260425EL04,楽天,西武,7,9
2026-04-25,NPB20260425SHM06,ソフトバンク,ロッテ,0,5
2026-04-26,NPB20260426BF05,オリックス,日本ハム,9,4
2026-04-26,NPB20260426EL04,楽天,西武,0,3
2026-04-28,NPB20260428BSH06,オリックス,ソフトバンク,1,7
2026-04-28,NPB20260428LF04,西武,日本ハム,1,2
2026-04-28,NPB20260428ME05,ロッテ,楽天,3,1
2026-04-29,NPB20260429BSH06,オリックス,ソフトバンク,5,4
2026-04-29,NPB20260429LF04,西武,日本ハム,3,0
