date,オリックス,ソフトバンク,ロッテ,日本ハム,楽天,西武
2026-07-03,1501.4,1678.5,1524.0,1629.7,1332.0,1614.7
2026-07-04,1501.4,1665.3,1537.2,1615.9,1345.8,1614.7
2026-07-05,1514.0,1676.3,1526.3,1626.3,1335.5,1602.1
2026-07-07,1502.9,1687.4,1538.8,1613.8,1325.4,1612.1
2026-07-08,1515.9,1674.3,1527.1,1625.5,1339.5,1598.0
2026-07-09,1515.9,1674.3,1527.1,1625.5,1339.5,1598.0
2026-07-10,1504.2,1659.9,1538.8,1613.1,1353.9,1610.4
2026-07-11,1516.6,1669.7,1526.4,1624.9,1344.2,1598.6
2026-07-12,1528.9,1679.3,1514.2,1612.5,1334.5,1611.0
2026-07-14,1515.7,1691.1,1503.0,1600.8,1347.6,1622.1
2026-07-15,1502.8,1678.6,1492.0,1613.2,1360.6,1633.2
2026-07-16,1490.0,1690.4,1505.1,1601.5,1373.3,1620.0
2026-07-17,1490.0,1690.4,1505.1,1601.5,1373.3,1620.0
2026-07-18,1478.6,1701.3,1494.2,1612.9,1386.8,1606.6
2026-07-19,1467.3,1712.1,1483.4,1624.2,1376.1,1617.3
2026-07-20,1480.2,1722.8,1472.7,1611.3,1365.5,1627.8
