シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-03-30,公式戦,東北楽天ゴールデンイーグルス,ビジター,L,1,オリックス・バファローズ,1,11,0,"0,0,0,1,0,0,0,0,0",3,京セラD大阪,13:01,03:15,30583,GAME20250330OBRE0013
2025,2025-03-30,公式戦,オリックス・バファローズ,ホーム,W,6,東北楽天ゴールデンイーグルス,6,16,0,"0,3,0,0,2,0,0,1,x",3,京セラD大阪,13:01,03:15,30583,GAME20250330OBRE0013
2025,2025-03-30,公式戦,千葉ロッテマリーンズ,ビジター,W,7,福岡ソフトバンクホークス,7,8,2,"0,0,0,0,1,0,3,1,2",3,みずほPayPay,13:01,03:02,39366,GAME20250330SHLM0014
2025,2025-03-30,公式戦,福岡ソフトバンクホークス,ホーム,L,4,千葉ロッテマリーンズ,4,9,0,"0,2,2,0,0,0,0,0,0",3,みずほPayPay,13:01,03:02,39366,GAME20250330SHLM0014
2025,2025-03-30,公式戦,北海道日本ハムファイターズ,ビジター,W,7,埼玉西武ライオンズ,7,9,1,"1,0,3,0,2,0,0,1,0",3,ベルーナドーム,13:01,02:52,27532,GAME20250330SLNF0018
2025,2025-03-30,公式戦,埼玉西武ライオンズ,ホーム,L,5,北海道日本ハムファイターズ,5,9,0,"1,0,0,1,0,0,0,3,0",3,ベルーナドーム,13:01,02:52,27532,GAME20250330SLNF0018
2025,2025-03-30,公式戦,東京ヤクルトスワローズ,ビジター,L,0,読売ジャイアンツ,0,7,0,"0,0,0,0,0,0,0,0,0",3,東京ドーム,14:00,03:42,41943,GAME20250330YGYS0016
2025,2025-03-30,公式戦,読売ジャイアンツ,ホーム,W,3,東京ヤクルトスワローズ,3,8,0,"0,2,0,0,0,0,0,1,x",3,東京ドーム,14:00,03:42,41943,GAME20250330YGYS0016
2025,2025-04-01,公式戦,読売ジャイアンツ,ビジター,L,2,中日ドラゴンズ,2,10,0,"0,0,0,1,0,0,0,0,1",1,バンテリンドーム,18:15,03:11,36272,GAME20250401CDYG0019
2025,2025-04-01,公式戦,中日ドラゴンズ,ホーム,W,3,読売ジャイアンツ,3,6,1,"0,1,0,0,0,0,1,1,x",1,バンテリンドーム,18:15,03:11,36272,GAME20250401CDYG0019
2025,2025-04-01,公式戦,横浜DeNAベイスターズ,ビジター,W,7,阪神タイガース,7,11,1,"0,0,1,0,0,3,0,0,3",1,京セラD大阪,18:06,03:02,36190,GAME20250401HTDB0021
