date,game_type,home,away,stadium,start_time,status,home_probable_starter,away_probable_starter,home_elo,away_elo,home_win_probability,away_win_probability,home_delta_if_home_win,away_delta_if_home_win,home_delta_if_away_win,away_delta_if_away_win,home_delta_if_draw,away_delta_if_draw
2026-09-26,セ・リーグ,DeNA,阪神,横 浜,14:00,予定,尾形,才木,1563.5,1592.9,50.0,50.0,12.0,-12.0,-12.0,12.0,0.0,-0.0
2026-09-26,パ・リーグ,オリックス,日本ハム,京セラD大阪,14:00,予定,エスピノーザ,伊藤,1419.5,1627.2,45.0,55.0,13.2,-13.2,-10.8,10.8,1.2,-1.2
2026-09-26,パ・リーグ,西武,ロッテ,ベルーナドーム,14:00,予定,菅井,小島,1620.8,1417.5,56.5,43.5,10.5,-10.5,-13.5,13.5,-1.5,1.5
2026-09-26,パ・リーグ,ソフトバンク,楽天,みずほPayPay,18:00,予定,モイネロ,古謝,1860.5,1334.8,65.1,34.9,8.4,-8.4,-15.6,15.6,-3.6,3.6
2026-09-26,セ・リーグ,ヤクルト,中日,神 宮,18:00,予定,高梨,涌井,1283.2,1362.0,48.6,51.4,12.3,-12.3,-11.7,11.7,0.3,-0.3
