date,game_id,home,away,home_score,away_score
2026-04-17,NPB20260417EM05,楽天,ロッテ,1,0
2026-04-17,NPB20260417FL04,日本ハム,西武,3,5
2026-04-17,NPB20260417HCDB03,広島,DeNA,1,5
2026-04-17,NPB20260417HTCD02,阪神,中日,2,1
2026-04-17,NPB20260417SHB06,ソフトバンク,オリックス,4,13
2026-04-17,NPB20260417YSYG01,ヤクルト,巨人,2,8
2026-04-18,NPB20260418EM05,楽天,ロッテ,9,1
2026-04-18,NPB20260418FL04,日本ハム,西武,5,3
2026-04-18,NPB20260418HCDB03,広島,DeNA,2,7
2026-04-18,NPB20260418HTCD02,阪神,中日,4,3
2026-04-18,NPB20260418SHB06,ソフトバンク,オリックス,7,0
2026-04-18,NPB20260418YSYG01,ヤクルト,巨人,4,3
2026-04-19,NPB20260419EM05,楽天,ロッテ,5,8
2026-04-19,NPB20260419FL04,日本ハム,西武,3,15
2026-04-19,NPB20260419HCDB03,広島,DeNA,0,2
2026-04-19,NPB20260419HTCD02,阪神,中日,7,5
2026-04-19,NPB20260419SHB06,ソフトバンク,オリックス,1,2
2026-04-19,NPB20260419YSYG01,ヤクルト,巨人,3,1
2026-04-21,NPB20260421DBHT02,DeNA,阪神,16,9
2026-04-21,NPB20260421FE04,日本ハム,楽天,3,1
2026-04-21,NPB20260421HCYS03,広島,ヤクルト,2,1
2026-04-21,NPB20260421LSH05,西武,ソフトバンク,6,4
2026-04-21,NPB20260421MB06,ロッテ,オリックス,7,4
2026-04-21,NPB20260421YGCD01,巨人,中日,2,1
2026-04-22,NPB20260422DBHT02,DeNA,阪神,7,6
2026-04-22,NPB20260422FE04,日本ハム,楽天,5,4
2026-04-22,NPB20260422HCYS03,広島,ヤクルト,0,2
2026-04-22,NPB20260422LSH05,西武,ソフトバンク,3,1
2026-04-22,NPB20260422MB06,ロッテ,オリックス,1,4
2026-04-22,NPB20260422YGCD01,巨人,中日,5,1
2026-04-23,NPB20260423FE02,日本ハム,楽天,2,3
2026-04-23,NPB20260423HCYS01,広島,ヤクルト,0,2
2026-04-23,NPB20260423LSH03,西武,ソフトバンク,3,4
2026-04-24,NPB20260424BF03,オリックス,日本ハム,3,2
2026-04-24,NPB20260424CDYS02,中日,ヤクルト,6,4
2026-04-24,NPB20260424DBYG01,DeNA,巨人,2,1
2026-04-25,NPB20260425BF05,オリックス,日本ハム,4,2
2026-04-25,NPB20260425CDYS02,中日,ヤクルト,5,2
2026-04-25,NPB20260425DBYG01,DeNA,巨人,2,7
2026-04-25,NPB20260425EL04,楽天,西武,7,9
2026-04-25,NPB20260425HTHC03,阪神,広島,2,2
2026-04-25,NPB20260425SHM06,ソフトバンク,ロッテ,0,5
2026-04-26,NPB20260426BF05,オリックス,日本ハム,9,4
2026-04-26,NPB20260426CDYS02,中日,ヤクルト,3,0
2026-04-26,NPB20260426DBYG01,DeNA,巨人,1,4
2026-04-26,NPB20260426EL04,楽天,西武,0,3
2026-04-26,NPB20260426HTHC03,阪神,広島,1,0
2026-04-28,NPB20260428BSH06,オリックス,ソフトバンク,1,7
2026-04-28,NPB20260428CDDB03,中日,DeNA,3,0
2026-04-28,NPB20260428LF04,西武,日本ハム,1,2
2026-04-28,NPB20260428ME05,ロッテ,楽天,3,1
2026-04-28,NPB20260428YGHC01,巨人,広島,1,11
2026-04-28,NPB20260428YSHT02,ヤクルト,阪神,10,5
2026-04-29,NPB20260429BSH06,オリックス,ソフトバンク,5,4
2026-04-29,NPB20260429CDDB03,中日,DeNA,2,4
2026-04-29,NPB20260429LF04,西武,日本ハム,3,0
2026-04-29,NPB20260429ME05,ロッテ,楽天,5,3
2026-04-29,NPB20260429YGHC01,巨人,広島,4,2
2026-04-29,NPB20260429YSHT02,ヤクルト,阪神,0,2
2026-04-30,NPB20260430CDDB03,中日,DeNA,2,6
2026-04-30,NPB20260430LF04,西武,日本ハム,2,3
2026-04-30,NPB20260430YGHC01,巨人,広島,2,3
2026-04-30,NPB20260430YSHT02,ヤクルト,阪神,2,10
2026-05-01,NPB20260501FB04,日本ハム,オリックス,5,1
2026-05-01,NPB20260501HCCD03,広島,中日,7,3
2026-05-01,NPB20260501HTYG02,阪神,巨人,3,5
2026-05-01,NPB20260501ML05,ロッテ,西武,0,10
2026-05-01,NPB20260501SHE06,ソフトバンク,楽天,4,1
2026-05-01,NPB20260501YSDB01,ヤクルト,DeNA,16,5
2026-05-02,NPB20260502FB04,日本ハム,オリックス,9,10
2026-05-02,NPB20260502HCCD03,広島,中日,0,4
2026-05-02,NPB20260502HTYG02,阪神,巨人,7,5
2026-05-02,NPB20260502ML05,ロッテ,西武,4,5
2026-05-02,NPB20260502SHE06,ソフトバンク,楽天,5,0
2026-05-02,NPB20260502YSDB01,ヤクルト,DeNA,6,5
2026-05-03,NPB20260503FB03,日本ハム,オリックス,3,0
2026-05-03,NPB20260503HTYG02,阪神,巨人,3,0
2026-05-03,NPB20260503ML04,ロッテ,西武,10,0
2026-05-03,NPB20260503SHE05,ソフトバンク,楽天,0,7
2026-05-03,NPB20260503YSDB01,ヤクルト,DeNA,2,12
2026-05-04,NPB20260504BM06,オリックス,ロッテ,3,0
2026-05-04,NPB20260504CDHT03,中日,阪神,7,3
2026-05-04,NPB20260504DBHC02,DeNA,広島,11,8
2026-05-04,NPB20260504EF04,楽天,日本ハム,3,1
2026-05-04,NPB20260504LSH05,西武,ソフトバンク,10,2
2026-05-04,NPB20260504YGYS01,巨人,ヤクルト,1,5
2026-05-05,NPB20260505BM06,オリックス,ロッテ,6,1
2026-05-05,NPB20260505CDHT03,中日,阪神,7,3
2026-05-05,NPB20260505DBHC02,DeNA,広島,5,5
2026-05-05,NPB20260505EF04,楽天,日本ハム,3,2
2026-05-05,NPB20260505LSH05,西武,ソフトバンク,4,6
2026-05-05,NPB20260505YGYS01,巨人,ヤクルト,3,2
2026-05-06,NPB20260506BM06,オリックス,ロッテ,3,0
2026-05-06,NPB20260506CDHT03,中日,阪神,0,2
2026-05-06,NPB20260506DBHC02,DeNA,広島,0,10
2026-05-06,NPB20260506EF04,楽天,日本ハム,2,12
2026-05-06,NPB20260506LSH05,西武,ソフトバンク,10,2
2026-05-06,NPB20260506YGYS01,巨人,ヤクルト,0,5
2026-05-08,NPB20260508BF05,オリックス,日本ハム,4,3
2026-05-08,NPB20260508CDYG01,中日,巨人,9,2
2026-05-08,NPB20260508HCYS03,広島,ヤクルト,1,4
2026-05-08,NPB20260508HTDB02,阪神,DeNA,1,10
2026-05-08,NPB20260508LE04,西武,楽天,4,2
2026-05-08,NPB20260508SHM06,ソフトバンク,ロッテ,6,5
2026-05-09,NPB20260509BF05,オリックス,日本ハム,0,3
2026-05-09,NPB20260509CDYG01,中日,巨人,4,2
2026-05-09,NPB20260509HCYS03,広島,ヤクルト,0,4
2026-05-09,NPB20260509HTDB02,阪神,DeNA,1,3
2026-05-09,NPB20260509LE04,西武,楽天,6,2
2026-05-09,NPB20260509SHM06,ソフトバンク,ロッテ,4,5
2026-05-10,NPB20260510BF05,オリックス,日本ハム,0,2
2026-05-10,NPB20260510CDYG01,中日,巨人,4,9
2026-05-10,NPB20260510HCYS03,広島,ヤクルト,4,0
2026-05-10,NPB20260510HTDB02,阪神,DeNA,3,0
2026-05-10,NPB20260510LE04,西武,楽天,6,1
2026-05-10,NPB20260510SHM06,ソフトバンク,ロッテ,8,3
2026-05-12,NPB20260512DBCD03,DeNA,中日,3,1
2026-05-12,NPB20260512EB04,楽天,オリックス,0,2
2026-05-12,NPB20260512MF05,ロッテ,日本ハム,2,3
2026-05-12,NPB20260512SHL06,ソフトバンク,西武,0,3
2026-05-12,NPB20260512YGHC01,巨人,広島,5,3
2026-05-12,NPB20260512YSHT02,ヤクルト,阪神,0,10
2026-05-13,NPB20260513DBCD03,DeNA,中日,5,0
2026-05-13,NPB20260513MF04,ロッテ,日本ハム,2,6
2026-05-13,NPB20260513SHL05,ソフトバンク,西武,1,2
2026-05-13,NPB20260513YGHC01,巨人,広島,4,2
2026-05-13,NPB20260513YSHT02,ヤクルト,阪神,4,2
2026-05-14,NPB20260514DBCD01,DeNA,中日,0,0
2026-05-14,NPB20260514EB02,楽天,オリックス,3,0
2026-05-14,NPB20260514MF03,ロッテ,日本ハム,5,3
2026-05-15,NPB20260515CDYS02,中日,ヤクルト,5,8
2026-05-15,NPB20260515ESH05,楽天,ソフトバンク,6,3
2026-05-15,NPB20260515FL04,日本ハム,西武,0,3
2026-05-15,NPB20260515HTHC03,阪神,広島,0,2
2026-05-15,NPB20260515MB06,ロッテ,オリックス,6,3
2026-05-15,NPB20260515YGDB01,巨人,DeNA,2,0
2026-05-16,NPB20260516CDYS02,中日,ヤクルト,8,0
2026-05-16,NPB20260516ESH05,楽天,ソフトバンク,4,3
2026-05-16,NPB20260516FL04,日本ハム,西武,5,4
2026-05-16,NPB20260516HTHC03,阪神,広島,3,1
2026-05-16,NPB20260516MB06,ロッテ,オリックス,2,0
2026-05-16,NPB20260516YGDB01,巨人,DeNA,4,3
2026-05-17,NPB20260517CDYS02,中日,ヤクルト,1,5
2026-05-17,NPB20260517ESH05,楽天,ソフトバンク,1,5
2026-05-17,NPB20260517FL04,日本ハム,西武,3,6
2026-05-17,NPB20260517HTHC03,阪神,広島,0,1
2026-05-17,NPB20260517MB06,ロッテ,オリックス,3,2
2026-05-17,NPB20260517YGDB01,巨人,DeNA,1,0
2026-05-19,NPB20260519BSH06,オリックス,ソフトバンク,2,1
2026-05-19,NPB20260519FE04,日本ハム,楽天,6,2
2026-05-19,NPB20260519HCDB03,広島,DeNA,3,1
2026-05-19,NPB20260519HTCD02,阪神,中日,4,2
2026-05-19,NPB20260519LM05,西武,ロッテ,3,2
2026-05-19,NPB20260519YSYG01,ヤクルト,巨人,0,2
2026-05-20,NPB20260520BSH05,オリックス,ソフトバンク,8,3
2026-05-20,NPB20260520FE03,日本ハム,楽天,5,3
2026-05-20,NPB20260520HCDB02,広島,DeNA,3,4
2026-05-20,NPB20260520HTCD01,阪神,中日,8,7
2026-05-20,NPB20260520LM04,西武,ロッテ,1,3
2026-05-21,NPB20260521HCDB02,広島,DeNA,3,1
2026-05-21,NPB20260521YSYG01,ヤクルト,巨人,3,1
2026-05-22,NPB20260522CDHC02,中日,広島,6,2
2026-05-22,NPB20260522EM03,楽天,ロッテ,1,2
2026-05-22,NPB20260522LB04,西武,オリックス,1,5
2026-05-22,NPB20260522SHF05,ソフトバンク,日本ハム,10,0
2026-05-22,NPB20260522YGHT01,巨人,阪神,4,7
2026-05-23,NPB20260523CDHC03,中日,広島,3,5
