date,game_id,home,away,home_score,away_score,stadium,start_time,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2025-03-28,GAME20250328HCHT0005,広島,阪神,0,4,マツダスタジアム,18:01,1500.0,1500.0,0.550199353253537,-11.003987065070739,1488.9960129349292,1511.0039870650708
2025-03-28,GAME20250328YGYS0004,巨人,ヤクルト,6,5,東京ドーム,18:19,1500.0,1500.0,0.550199353253537,8.996012934929261,1508.9960129349292,1491.0039870650708
2025-03-28,GAME20250328DBCD0003,DeNA,中日,5,0,横　浜,18:30,1500.0,1500.0,0.550199353253537,8.996012934929261,1508.9960129349292,1491.0039870650708
2025-03-29,GAME20250329HCHT0011,広島,阪神,2,3,マツダスタジアム,14:00,1488.9960129349292,1511.0039870650708,0.518688318275341,-10.373766365506821,1478.6222465694225,1521.3777534305775
2025-03-29,GAME20250329YGYS0010,巨人,ヤクルト,12,0,東京ドーム,14:00,1508.9960129349292,1491.0039870650708,0.5756757395964996,8.486485208070008,1517.4824981429992,1482.5175018570008
2025-03-29,GAME20250329DBCD0009,DeNA,中日,0,1,横　浜,14:30,1508.9960129349292,1491.0039870650708,0.5756757395964996,-11.513514791929992,1497.4824981429992,1502.5175018570008
2025-03-30,GAME20250330HCHT0017,広島,阪神,2,0,マツダスタジアム,13:31,1478.6222465694225,1521.3777534305775,0.4888407818485627,10.223184363028746,1488.8454309324513,1511.1545690675487
2025-03-30,GAME20250330YGYS0016,巨人,ヤクルト,3,0,東京ドーム,14:00,1517.4824981429992,1482.5175018570008,0.5993484120868431,8.01303175826314,1525.4955299012624,1474.5044700987376
2025-03-30,GAME20250330DBCD0015,DeNA,中日,2,1,横　浜,14:01,1497.4824981429992,1502.5175018570008,0.5430164909168284,9.139670181663433,1506.6221683246627,1493.3778316753373
2025-04-01,GAME20250401HTDB0021,阪神,DeNA,1,7,京セラD大阪,18:06,1511.1545690675487,1506.6221683246627,0.55664744355537,-11.1329488711074,1500.0216201964413,1517.75511719577
2025-04-01,GAME20250401CDYG0019,中日,巨人,3,2,バンテリンドーム,18:15,1493.3778316753373,1525.4955299012624,0.5041478705314208,9.917042589371583,1503.2948742647088,1515.578487311891
2025-04-02,GAME20250402CDYG0024,中日,巨人,0,2,バンテリンドーム,18:00,1503.2948742647088,1515.578487311891,0.5326450035139139,-10.652900070278278,1492.6419741944305,1526.2313873821693
