日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-04-03,公式戦,DeNA,ビジター,3,巨人,NPB20260403YGDB01
2026-04-03,公式戦,ヤクルト,ホーム,0,中日,NPB20260403YSCD02
2026-04-03,公式戦,中日,ビジター,1,ヤクルト,NPB20260403YSCD02
2026-04-04,公式戦,日本ハム,ホーム,6,オリックス,NPB20260404FB04
2026-04-04,公式戦,オリックス,ビジター,3,日本ハム,NPB20260404FB04
2026-04-04,公式戦,広島,ホーム,5,阪神,NPB20260404HCHT03
2026-04-04,公式戦,阪神,ビジター,7,広島,NPB20260404HCHT03
2026-04-04,公式戦,西武,ホーム,1,楽天,NPB20260404LE05
2026-04-04,公式戦,楽天,ビジター,2,西武,NPB20260404LE05
2026-04-04,公式戦,ロッテ,ホーム,2,ソフトバンク,NPB20260404MSH06
2026-04-04,公式戦,ソフトバンク,ビジター,5,ロッテ,NPB20260404MSH06
2026-04-04,公式戦,巨人,ホーム,8,DeNA,NPB20260404YGDB01
2026-04-04,公式戦,DeNA,ビジター,4,巨人,NPB20260404YGDB01
2026-04-04,公式戦,ヤクルト,ホーム,11,中日,NPB20260404YSCD02
2026-04-04,公式戦,中日,ビジター,6,ヤクルト,NPB20260404YSCD02
2026-04-05,公式戦,日本ハム,ホーム,8,オリックス,NPB20260405FB04
2026-04-05,公式戦,オリックス,ビジター,2,日本ハム,NPB20260405FB04
2026-04-05,公式戦,広島,ホーム,2,阪神,NPB20260405HCHT03
2026-04-05,公式戦,阪神,ビジター,1,広島,NPB20260405HCHT03
2026-04-05,公式戦,西武,ホーム,1,楽天,NPB20260405LE05
2026-04-05,公式戦,楽天,ビジター,1,西武,NPB20260405LE05
2026-04-05,公式戦,ロッテ,ホーム,3,ソフトバンク,NPB20260405MSH06
2026-04-05,公式戦,ソフトバンク,ビジター,4,ロッテ,NPB20260405MSH06
2026-04-05,公式戦,巨人,ホーム,3,DeNA,NPB20260405YGDB01
2026-04-05,公式戦,DeNA,ビジター,2,巨人,NPB20260405YGDB01
2026-04-05,公式戦,ヤクルト,ホーム,7,中日,NPB20260405YSCD02
2026-04-05,公式戦,中日,ビジター,5,ヤクルト,NPB20260405YSCD02
2026-04-07,公式戦,オリックス,ホーム,3,ロッテ,NPB20260407BM05
2026-04-07,公式戦,ロッテ,ビジター,1,オリックス,NPB20260407BM05
2026-04-07,公式戦,DeNA,ホーム,5,中日,NPB20260407DBCD01
2026-04-07,公式戦,中日,ビジター,3,DeNA,NPB20260407DBCD01
2026-04-07,公式戦,楽天,ホーム,3,日本ハム,NPB20260407EF04
2026-04-07,公式戦,日本ハム,ビジター,0,楽天,NPB20260407EF04
2026-04-07,公式戦,広島,ホーム,5,巨人,NPB20260407HCYG03
2026-04-07,公式戦,巨人,ビジター,2,広島,NPB20260407HCYG03
2026-04-07,公式戦,阪神,ホーム,9,ヤクルト,NPB20260407HTYS02
2026-04-07,公式戦,ヤクルト,ビジター,3,阪神,NPB20260407HTYS02
2026-04-07,公式戦,ソフトバンク,ホーム,6,西武,NPB20260407SHL06
2026-04-07,公式戦,西武,ビジター,8,ソフトバンク,NPB20260407SHL06
2026-04-08,公式戦,オリックス,ホーム,9,ロッテ,NPB20260408BM05
2026-04-08,公式戦,ロッテ,ビジター,1,オリックス,NPB20260408BM05
